seller_id,company_name,category,country,state,monthly_revenue,orders,avg_order_value,return_rate,customer_rating,late_shipment_pct,cancellation_pct,ad_spend,conversion_rate,seller_age_months,growth_rate,repeat_customer_pct,account_manager,support_tickets,seller_tier
SLR-00001,Apex Trading #1,Sports & Outdoors,DE,BY,6160.19,69,89.28,0.0255,3.99,0.0864,0.0472,41.2,0.0128,65,0.0417,0.3911,,1,premium
SLR-00002,Urban Collective #2,Home & Kitchen,US,CA,23409.53,286,81.85,0.1387,4.33,0.0163,0.0824,1006.98,0.0125,93,0.0746,0.2311,,2,premium
SLR-00003,Silver Mercantile #3,Apparel,US,FL,19905.75,296,67.25,0.0647,4.25,0.1437,0.0324,615.91,0.0438,5,-0.0155,0.523,,1,preferred
SLR-00004,Union Market #4,Electronics,US,CA,11460.71,149,76.92,0.1043,4.4,0.0917,0.0587,113.82,0.0421,69,0.0271,0.54,,0,preferred
SLR-00005,River Trading #5,Home & Kitchen,US,NY,17270.21,219,78.86,0.0668,4.27,0.0623,0.0257,87.07,0.0776,38,-0.0356,0.3164,,1,preferred
SLR-00006,Apex Supply #6,Apparel,US,WA,2823.99,27,104.59,0.1838,3.42,0.1009,0.0565,93.75,0.0889,29,-0.0153,0.3219,,1,premium
SLR-00007,Coastal Outfitters #7,Beauty,DE,BY,2034.55,20,101.73,0.0601,4.76,0.0569,0.0416,102.08,0.0088,24,0.0872,0.1297,,2,standard
SLR-00008,Prime Supply #8,Sports & Outdoors,US,FL,1566.37,22,71.2,0.1175,3.86,0.068,0.1259,396.69,0.0091,26,0.0265,0.3245,,1,preferred
SLR-00009,North Outfitters #9,Toys,US,TX,30747.37,399,77.06,0.0343,4.27,0.0587,0.0138,87.77,0.0448,82,0.1368,0.2634,,0,preferred
SLR-00010,Metro Goods #10,Grocery,DE,BY,6189.77,78,79.36,0.0727,4.11,0.1035,0.0472,2475.49,0.0645,78,0.1482,0.4751,,3,standard
SLR-00011,Bright Supply #11,Grocery,US,CA,6403.51,86,74.46,0.057,4.14,0.0391,0.0579,115.13,0.06,88,-0.0524,0.4803,,1,premium
SLR-00012,Bright Works #12,Home & Kitchen,US,IL,8448.19,92,91.83,0.0396,4.2,0.0778,0.0414,820.87,0.0396,41,-0.0927,0.4983,,1,standard
SLR-00013,North Market #13,Beauty,US,FL,3717.06,46,80.81,0.067,4.86,0.1335,0.0356,71.33,0.0663,94,-0.1187,0.2211,,3,standard
SLR-00014,Bright Collective #14,Sports & Outdoors,US,CA,31185.62,400,77.96,0.0748,4.21,0.1549,0.0331,604.67,0.0173,23,-0.0229,0.355,,1,premium
SLR-00015,Blue Supply #15,Grocery,GB,ENG,3049.87,44,69.32,0.1718,3.92,0.0839,0.0113,135.98,0.0355,89,-0.1245,0.5519,,3,premium
SLR-00016,River Traders #16,Apparel,US,FL,12491.21,154,81.11,0.2066,4.38,0.0802,0.0111,127.28,0.0089,61,0.0621,0.3192,,0,standard
SLR-00017,North Works #17,Automotive,US,IL,5422.61,72,75.31,0.0589,3.74,0.0476,0.0338,165.52,0.0352,47,0.04,0.4503,,3,preferred
SLR-00018,Summit Depot #18,Books,DE,BY,6036.9,74,81.58,0.0948,3.81,0.0507,0.043,238.16,0.0551,7,0.0427,0.4474,,0,preferred
SLR-00019,Golden Group #19,Sports & Outdoors,DE,BY,26094.27,301,86.69,0.0649,3.65,0.0408,0.1276,88.85,0.0214,34,0.0996,0.1986,,2,premium
SLR-00020,River Traders #20,Sports & Outdoors,CA,BC,14482.14,170,85.19,0.082,4.75,0.0824,0.0444,587.03,0.0543,36,0.0925,0.6157,,2,premium
SLR-00021,Metro Depot #21,Toys,US,NY,17792.03,232,76.69,0.0421,4.82,0.0965,0.0358,515.74,0.0216,12,0.0258,0.2931,,1,standard
SLR-00022,Urban Depot #22,Automotive,US,WA,8631.93,108,79.93,0.0696,3.89,0.1006,0.0572,261.37,0.0165,91,-0.0082,0.5373,,0,premium
SLR-00023,Silver Mercantile #23,Automotive,GB,ENG,16514.59,217,76.1,0.0534,4.05,0.1685,0.0281,53.06,0.055,56,-0.0073,0.07,,2,standard
SLR-00024,Silver Goods #24,Toys,US,TX,8774.88,123,71.34,0.0193,4.26,0.0581,0.1075,179.15,0.099,84,0.0274,0.4282,,1,premium
SLR-00025,North Collective #25,Books,DE,BY,2660.4,26,102.32,0.0693,4.34,0.0626,0.0202,61.02,0.0737,29,-0.0536,0.1937,,3,preferred
SLR-00026,Bright Market #26,Office Supplies,US,FL,2397.48,41,58.48,0.0101,4.35,0.0772,0.0683,295.54,0.0369,48,-0.0769,0.1413,,1,premium
SLR-00027,North Co #27,Beauty,DE,BY,21565.26,275,78.42,0.0464,4.06,0.0746,0.0263,231.24,0.0695,89,0.0705,0.3681,,0,standard
SLR-00028,Blue Group #28,Books,DE,BY,4440.38,58,76.56,0.2259,4.31,0.0645,0.0078,546.9,0.0521,87,0.0568,0.4318,,0,standard
SLR-00029,Prime Outfitters #29,Electronics,US,FL,19480.15,259,75.21,0.1157,4.87,0.2235,0.0324,1431.32,0.0378,14,0.0422,0.4116,,2,standard
SLR-00030,Union Supply #30,Beauty,US,NY,5130.17,82,62.56,0.0762,4.9,0.0299,0.0071,241.65,0.0592,64,0.0174,0.2813,,1,preferred
SLR-00031,Summit Outfitters #31,Office Supplies,US,IL,26952.25,335,80.45,0.0425,5.0,0.0859,0.0559,26.81,0.054,24,-0.0511,0.5291,,3,premium
SLR-00032,Prime Works #32,Apparel,DE,BY,7381.35,80,92.27,0.0843,4.1,0.0811,0.0237,1275.34,0.0219,54,0.024,0.3466,,0,standard
SLR-00033,Metro Depot #33,Office Supplies,US,WA,10643.16,122,87.24,0.0389,3.77,0.0921,0.0266,468.36,0.018,55,0.0165,0.6208,,1,standard
SLR-00034,Silver Group #34,Grocery,US,IL,93009.96,1160,80.18,0.0307,3.95,0.1191,0.0086,189.42,0.0475,95,0.0895,0.6351,,2,preferred
SLR-00035,Prime Depot #35,Sports & Outdoors,CA,BC,9567.47,113,84.67,0.155,4.37,0.0834,0.0362,69.76,0.0445,29,0.0034,0.3443,,1,standard
SLR-00036,Summit Goods #36,Sports & Outdoors,US,WA,6763.19,75,90.18,0.1078,4.15,0.0819,0.0199,170.47,0.1182,20,-0.1407,0.2953,,2,premium
SLR-00037,Blue Co #37,Automotive,US,TX,94159.09,1188,79.26,0.1127,4.33,0.0278,0.016,1416.68,0.0355,94,0.0629,0.4124,,1,standard
SLR-00038,Metro Works #38,Electronics,US,CA,40852.19,525,77.81,0.1077,4.3,0.0613,0.0197,222.36,0.0628,8,0.0083,0.5106,,4,standard
SLR-00039,Silver Mercantile #39,Home & Kitchen,CA,BC,21807.88,277,78.73,0.0458,3.55,0.0393,0.0411,261.95,0.0221,6,0.1146,0.385,,1,premium
SLR-00040,Metro Traders #40,Home & Kitchen,US,NY,5652.12,75,75.36,0.1301,3.96,0.0427,0.0167,91.88,0.0533,40,-0.019,0.179,,3,preferred
